ncrna_id,symbol,disease_id,context_id,translational_score,relevance_score,mean_abs_log2fc,sig_rate,de_consistency,mean_tau,log_tpm_disease,label,confidence_tier,task_type,label_source,dataset_id,notes
LNCRNA_9387,CUX2,DIS_001,CTX_001,0.1915,0.6383,1.238878,1.0,1.0,0.0,4.542425,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13965,HMOX1,DIS_001,CTX_001,0.1915,0.6412,1.296556,1.0,1.0,0.0,4.324884,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11529,UBB,DIS_001,CTX_001,0.1914,0.6037,0.553153,1.0,1.0,0.0,7.090793,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11024,ITGAD,DIS_001,CTX_001,0.1913,0.6754,1.978725,1.0,1.0,0.0,1.761963,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1231,CFH,DIS_001,CTX_001,0.1913,0.5968,0.422168,1.0,1.0,0.0,7.544428,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12692,PCK1,DIS_001,CTX_001,0.1913,0.6091,0.667436,1.0,1.0,0.0,6.624028,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2189,COL3A1,DIS_001,CTX_001,0.1912,0.6325,1.134426,1.0,1.0,0.0,4.866304,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2580,GOLGA4,DIS_001,CTX_001,0.1911,0.6428,1.341242,1.0,1.0,0.0,4.077809,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6370,CTSB,DIS_001,CTX_001,0.1911,0.6009,0.510785,1.0,1.0,0.0,7.167674,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8729,ACADSB,DIS_001,CTX_001,0.191,0.6161,0.813666,1.0,1.0,0.0,6.034698,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6226,THOC2,DIS_001,CTX_001,0.191,0.6606,1.696765,1.0,1.0,0.0,2.745913,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9072,KRT18,DIS_001,CTX_001,0.191,0.6295,1.081102,1.0,1.0,0.0,5.022077,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3408,RPL9,DIS_001,CTX_001,0.1909,0.6333,1.158884,1.0,1.0,0.0,4.725459,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9162,LRP1,DIS_001,CTX_001,0.1908,0.6099,0.696976,1.0,1.0,0.0,6.428749,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9424,PEBP1,DIS_001,CTX_001,0.1907,0.6004,0.511812,1.0,1.0,0.0,7.098324,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3095,P2RY13,DIS_001,CTX_001,0.1907,0.6667,1.82932,1.0,1.0,0.0,2.174082,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8529,LIPA,DIS_001,CTX_001,0.1907,0.6211,0.926642,1.0,1.0,0.0,5.534315,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11507,MYH2,DIS_001,CTX_001,0.1906,0.6805,2.103516,1.0,1.0,0.0,1.150837,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3019,NPHP3,DIS_001,CTX_001,0.1906,0.6901,2.294568,1.0,1.0,0.0,0.433581,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11314,ANKRD11,DIS_001,CTX_001,0.1905,0.653,1.561487,1.0,1.0,0.0,3.14709,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9000,SLC38A4,DIS_001,CTX_001,0.1905,0.6048,0.607411,1.0,1.0,0.0,6.69693,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1909,ANKRD36B,DIS_001,CTX_001,0.1905,0.695,2.395685,1.0,1.0,0.0,0.035162,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5940,CYBB,DIS_001,CTX_001,0.1905,0.6428,1.361866,1.0,1.0,0.0,3.882101,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7672,SERPING1,DIS_001,CTX_001,0.1905,0.5877,0.270228,1.0,1.0,0.0,7.941002,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3080,CP,DIS_001,CTX_001,0.1904,0.5925,0.367877,1.0,1.0,0.0,7.562003,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3514,CXCL10,DIS_001,CTX_001,0.1903,0.6692,1.892052,1.0,1.0,0.0,1.860043,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13475,CKM,DIS_001,CTX_001,0.1902,0.6742,1.991972,1.0,1.0,0.0,1.481366,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5127,AKAP12,DIS_001,CTX_001,0.1901,0.6436,1.388624,1.0,1.0,0.0,3.708313,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5844,DYNC2I1,DIS_001,CTX_001,0.1901,0.6734,1.980363,1.0,1.0,0.0,1.503743,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3590,ADH1C,DIS_001,CTX_001,0.1899,0.594,0.414399,1.0,1.0,0.0,7.287979,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4311,RPS14,DIS_001,CTX_001,0.1899,0.6178,0.88648,1.0,1.0,0.0,5.529478,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1087,FCGR3A,DIS_001,CTX_001,0.1899,0.6386,1.299423,1.0,1.0,0.0,3.988016,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10369,B2M,DIS_001,CTX_001,0.1899,0.5937,0.410118,1.0,1.0,0.0,7.294488,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1195,GLUL,DIS_001,CTX_001,0.1897,0.6045,0.628777,1.0,1.0,0.0,6.452939,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12928,PET100,DIS_001,CTX_001,0.1896,0.6786,2.102804,1.0,1.0,0.0,0.933322,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10513,RPLP1,DIS_001,CTX_001,0.1896,0.6144,0.830324,1.0,1.0,0.0,5.668509,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8227,IDI1,DIS_001,CTX_001,0.1895,0.6311,1.161318,1.0,1.0,0.0,4.42985,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12639,MMP9,DIS_001,CTX_001,0.1895,0.6837,2.207393,1.0,1.0,0.0,0.52324,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3479,UGT2B4,DIS_001,CTX_001,0.1895,0.5977,0.503402,1.0,1.0,0.0,6.861105,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8846,C1S,DIS_001,CTX_001,0.1894,0.5819,0.19208,1.0,1.0,0.0,8.009329,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7775,FKBP2,DIS_001,CTX_001,0.1893,0.6381,1.311338,1.0,1.0,0.0,3.811926,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6230,TENM1,DIS_001,CTX_001,0.1892,0.672,1.985868,1.0,1.0,0.0,1.28425,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8221,B3GAT1,DIS_001,CTX_001,0.1891,0.6542,1.635614,1.0,1.0,0.0,2.570199,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1636,EHD3,DIS_001,CTX_001,0.1891,0.6373,1.302268,1.0,1.0,0.0,3.80282,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5313,CPVL,DIS_001,CTX_001,0.189,0.6394,1.343835,1.0,1.0,0.0,3.646327,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12855,EEF2,DIS_001,CTX_001,0.189,0.5868,0.302078,1.0,1.0,0.0,7.521911,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5233,ACTB,DIS_001,CTX_001,0.189,0.5922,0.409242,1.0,1.0,0.0,7.116391,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13390,AXL,DIS_001,CTX_001,0.1889,0.64,1.362773,1.0,1.0,0.0,3.536258,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10893,ACSM2B,DIS_001,CTX_001,0.1888,0.6091,0.749873,1.0,1.0,0.0,5.816279,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8980,KIF21A,DIS_001,CTX_001,0.1888,0.6451,1.464119,1.0,1.0,0.0,3.152053,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2162,PDE11A,DIS_001,CTX_001,0.1888,0.6521,1.604676,1.0,1.0,0.0,2.619083,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5528,COL1A2,DIS_001,CTX_001,0.1887,0.635,1.266982,1.0,1.0,0.0,3.867573,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0317,SDC3,DIS_001,CTX_001,0.1886,0.6287,1.144094,1.0,1.0,0.0,4.307558,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6382,SLC7A2,DIS_001,CTX_001,0.1886,0.6024,0.623935,1.0,1.0,0.0,6.24079,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6727,SQLE,DIS_001,CTX_001,0.1886,0.648,1.529058,1.0,1.0,0.0,2.867405,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10466,PPIB,DIS_001,CTX_001,0.1886,0.6117,0.81022,1.0,1.0,0.0,5.533471,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4740,FKBP5,DIS_001,CTX_001,0.1885,0.6189,0.955259,1.0,1.0,0.0,4.980802,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11301,MVD,DIS_001,CTX_001,0.1885,0.6464,1.500466,1.0,1.0,0.0,2.947645,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8209,APLP2,DIS_001,CTX_001,0.1884,0.5993,0.568553,1.0,1.0,0.0,6.407601,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10833,ABAT,DIS_001,CTX_001,0.1883,0.6033,0.651975,1.0,1.0,0.0,6.072373,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9838,PCK2,DIS_001,CTX_001,0.1882,0.5928,0.447545,1.0,1.0,0.0,6.817401,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9154,HSD17B6,DIS_001,CTX_001,0.1882,0.591,0.410686,1.0,1.0,0.0,6.954268,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_14130,PLXNB2,DIS_001,CTX_001,0.1882,0.6089,0.766657,1.0,1.0,0.0,5.627464,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3476,UGT2B7,DIS_001,CTX_001,0.1882,0.5894,0.37983,1.0,1.0,0.0,7.063491,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10648,IQGAP1,DIS_001,CTX_001,0.1881,0.6305,1.198633,1.0,1.0,0.0,3.994685,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1722,RPS27A,DIS_001,CTX_001,0.1881,0.6137,0.866457,1.0,1.0,0.0,5.223549,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10638,ANPEP,DIS_001,CTX_001,0.188,0.5941,0.479997,1.0,1.0,0.0,6.65129,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10163,IFI27,DIS_001,CTX_001,0.188,0.6435,1.460828,1.0,1.0,0.0,2.992597,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0715,GPR88,DIS_001,CTX_001,0.1878,0.6486,1.567753,1.0,1.0,0.0,2.56339,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6815,RPL8,DIS_001,CTX_001,0.1878,0.6022,0.647384,1.0,1.0,0.0,5.988647,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11457,TMEM256,DIS_001,CTX_001,0.1878,0.648,1.555826,1.0,1.0,0.0,2.606077,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0565,FYB2,DIS_001,CTX_001,0.1878,0.6567,1.728234,1.0,1.0,0.0,1.964033,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1639,MEMO1,DIS_001,CTX_001,0.1878,0.6754,2.09915,1.0,1.0,0.0,0.577343,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9411,SDS,DIS_001,CTX_001,0.1878,0.5999,0.603888,1.0,1.0,0.0,6.142,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0018,ISG15,DIS_001,CTX_001,0.1878,0.6461,1.52059,1.0,1.0,0.0,2.721694,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0032,AURKAIP1,DIS_001,CTX_001,0.1878,0.632,1.240522,1.0,1.0,0.0,3.762869,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3895,C9,DIS_001,CTX_001,0.1876,0.588,0.37548,1.0,1.0,0.0,6.947089,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3588,ADH1A,DIS_001,CTX_001,0.1876,0.5826,0.267767,1.0,1.0,0.0,7.343207,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3754,MSMO1,DIS_001,CTX_001,0.1875,0.6096,0.804854,1.0,1.0,0.0,5.338695,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0536,ECHDC2,DIS_001,CTX_001,0.1874,0.6123,0.860689,1.0,1.0,0.0,5.110743,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6650,RIDA,DIS_001,CTX_001,0.1874,0.5989,0.597679,1.0,1.0,0.0,6.078812,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4798,GNMT,DIS_001,CTX_001,0.1874,0.6145,0.906293,1.0,1.0,0.0,4.925872,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7726,FTH1,DIS_001,CTX_001,0.1873,0.5863,0.348756,1.0,1.0,0.0,6.997617,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2801,DNASE1L3,DIS_001,CTX_001,0.1873,0.613,0.880123,1.0,1.0,0.0,5.013012,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8566,CYP2C8,DIS_001,CTX_001,0.1873,0.5816,0.25606,1.0,1.0,0.0,7.335792,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3142,SEC62,DIS_001,CTX_001,0.1872,0.6068,0.760074,1.0,1.0,0.0,5.440387,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11784,G6PC1,DIS_001,CTX_001,0.1872,0.6075,0.775367,1.0,1.0,0.0,5.376397,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_14152,LOC102724560,DIS_001,CTX_001,0.1872,0.6518,1.652315,1.0,1.0,0.0,2.110433,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0208,HSPG2,DIS_001,CTX_001,0.1872,0.618,0.98271,1.0,1.0,0.0,4.602298,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11891,TMEM92,DIS_001,CTX_001,0.1872,0.6742,2.098488,1.0,1.0,0.0,0.444877,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3125,SMC4,DIS_001,CTX_001,0.1871,0.6497,1.613347,1.0,1.0,0.0,2.248723,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8679,GPAM,DIS_001,CTX_001,0.1871,0.6068,0.76498,1.0,1.0,0.0,5.393706,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9820,SLC7A8,DIS_001,CTX_001,0.187,0.6409,1.441701,1.0,1.0,0.0,2.862662,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8651,BORCS7,DIS_001,CTX_001,0.187,0.6388,1.399822,1.0,1.0,0.0,3.017862,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13594,ATF5,DIS_001,CTX_001,0.187,0.5898,0.431311,1.0,1.0,0.0,6.612966,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1718,SPTBN1,DIS_001,CTX_001,0.187,0.598,0.592879,1.0,1.0,0.0,6.010377,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2084,UPP2,DIS_001,CTX_001,0.1869,0.6578,1.779547,1.0,1.0,0.0,1.586742,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9565,RPL21,DIS_001,CTX_001,0.1869,0.6207,1.045612,1.0,1.0,0.0,4.311518,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12143,P4HB,DIS_001,CTX_001,0.1869,0.5797,0.234378,1.0,1.0,0.0,7.325723,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5686,AASS,DIS_001,CTX_001,0.1869,0.6279,1.189413,1.0,1.0,0.0,3.767356,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9147,GLS2,DIS_001,CTX_001,0.1868,0.6076,0.789606,1.0,1.0,0.0,5.247845,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10782,TNFRSF12A,DIS_001,CTX_001,0.1868,0.6692,2.009707,1.0,1.0,0.0,0.70466,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_11736,IGFBP4,DIS_001,CTX_001,0.1868,0.5868,0.376775,1.0,1.0,0.0,6.783331,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2263,NRP2,DIS_001,CTX_001,0.1868,0.6361,1.355016,1.0,1.0,0.0,3.140783,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13984,TST,DIS_001,CTX_001,0.1868,0.6041,0.720473,1.0,1.0,0.0,5.493599,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9251,PPP1R12A,DIS_001,CTX_001,0.1867,0.6455,1.542304,1.0,1.0,0.0,2.429618,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2722,SLC38A3,DIS_001,CTX_001,0.1867,0.5898,0.43885,1.0,1.0,0.0,6.536477,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2046,UBXN4,DIS_001,CTX_001,0.1867,0.617,0.98036,1.0,1.0,0.0,4.506964,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3290,FGFRL1,DIS_001,CTX_001,0.1866,0.6179,0.999501,1.0,1.0,0.0,4.425465,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13402,RPS19,DIS_001,CTX_001,0.1866,0.6037,0.72114,1.0,1.0,0.0,5.450191,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3903,C6,DIS_001,CTX_001,0.1865,0.588,0.411819,1.0,1.0,0.0,6.582546,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4310,CD74,DIS_001,CTX_001,0.1865,0.5863,0.379239,1.0,1.0,0.0,6.702364,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10360,SERF2,DIS_001,CTX_001,0.1865,0.6055,0.759646,1.0,1.0,0.0,5.283139,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6024,KANTR,DIS_001,CTX_001,0.1864,0.6696,2.031495,1.0,1.0,0.0,0.546198,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5596,TFR2,DIS_001,CTX_001,0.1864,0.5842,0.339191,1.0,1.0,0.0,6.843795,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8513,ADIRF,DIS_001,CTX_001,0.1864,0.6271,1.189878,1.0,1.0,0.0,3.675738,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7207,HSPA5,DIS_001,CTX_001,0.1864,0.6011,0.674598,1.0,1.0,0.0,5.582205,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4451,FLT4,DIS_001,CTX_001,0.1864,0.6374,1.395015,1.0,1.0,0.0,2.899996,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0124,FBXO2,DIS_001,CTX_001,0.1863,0.6407,1.461258,1.0,1.0,0.0,2.644252,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4862,GSTA1,DIS_001,CTX_001,0.1862,0.5792,0.246661,1.0,1.0,0.0,7.148247,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7925,PDE2A,DIS_001,CTX_001,0.1862,0.6287,1.227421,1.0,1.0,0.0,3.497036,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4443,SQSTM1,DIS_001,CTX_001,0.1862,0.5991,0.641672,1.0,1.0,0.0,5.671167,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_9143,APOF,DIS_001,CTX_001,0.1862,0.6019,0.696245,1.0,1.0,0.0,5.465783,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_4191,LECT2,DIS_001,CTX_001,0.1862,0.6055,0.769167,1.0,1.0,0.0,5.192098,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_8947,ITPR2,DIS_001,CTX_001,0.1862,0.6013,0.685177,1.0,1.0,0.0,5.504245,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6115,HMGN5,DIS_001,CTX_001,0.1862,0.6449,1.550104,1.0,1.0,0.0,2.282327,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7706,PGA5,DIS_001,CTX_001,0.1862,0.6633,1.915688,1.0,1.0,0.0,0.917887,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3474,UGT2B10,DIS_001,CTX_001,0.1861,0.5863,0.389907,1.0,1.0,0.0,6.591789,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_0784,SLC16A1,DIS_001,CTX_001,0.1861,0.6203,1.065403,1.0,1.0,0.0,4.073957,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1325,C4BPA,DIS_001,CTX_001,0.1861,0.5767,0.201801,1.0,1.0,0.0,7.286647,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_5480,RSBN1L,DIS_001,CTX_001,0.1861,0.6417,1.490157,1.0,1.0,0.0,2.489708,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7348,TMEM141,DIS_001,CTX_001,0.1861,0.6426,1.50764,1.0,1.0,0.0,2.418626,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_12101,TIMP2,DIS_001,CTX_001,0.186,0.6121,0.906076,1.0,1.0,0.0,4.649067,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_10011,GPX2,DIS_001,CTX_001,0.186,0.6235,1.131802,1.0,1.0,0.0,3.807628,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13972,APOL3,DIS_001,CTX_001,0.186,0.6217,1.096708,1.0,1.0,0.0,3.937596,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_2251,NOP58,DIS_001,CTX_001,0.186,0.6387,1.433805,1.0,1.0,0.0,2.675493,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3587,ADH6,DIS_001,CTX_001,0.186,0.5837,0.343651,1.0,1.0,0.0,6.732821,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_3218,ST6GAL1,DIS_001,CTX_001,0.186,0.5827,0.325362,1.0,1.0,0.0,6.798297,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_7495,RPL27A,DIS_001,CTX_001,0.1859,0.6028,0.72341,1.0,1.0,0.0,5.310222,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_1135,F5,DIS_001,CTX_001,0.1859,0.5926,0.521823,1.0,1.0,0.0,6.059582,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_6782,PLEC,DIS_001,CTX_001,0.1859,0.6009,0.686844,1.0,1.0,0.0,5.43878,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
LNCRNA_13848,SERPIND1,DIS_001,CTX_001,0.1859,0.5757,0.188672,1.0,1.0,0.0,7.290483,0.5,Tier 3 — Exploratory,regression,auto_gse126848_v1,GSE126848,
